City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,esperance,-33.8667,121.9,14.1,77,100,5.18,AU,1674066773
1,lugovoy,42.9472,72.7644,-13.19,80,4,1.53,KZ,1674066774
2,yate,51.5407,-2.4184,3.32,88,5,2.96,GB,1674066774
3,avarua,-21.2078,-159.775,24.03,94,75,7.2,CK,1674066775
4,necochea,-38.5473,-58.7368,27.64,52,100,10.41,AR,1674066607
5,nuevo progreso,23.1667,-97.95,29.38,53,23,0.89,MX,1674066775
6,rikitea,-23.1203,-134.9692,25.3,72,59,1.58,PF,1674066721
7,kosa,59.9445,54.9977,-8.73,92,100,3.42,RU,1674066776
8,monrovia,6.3005,-10.7969,29.87,83,96,4.48,LR,1674066776
9,port-gentil,-0.7193,8.7815,26.98,83,40,1.03,GA,1674066777
10,hobart,-42.8794,147.3294,10.92,72,100,6.17,AU,1674066606
11,norman wells,65.282,-126.8329,-19.98,77,75,3.6,CA,1674066777
12,ushuaia,-54.8,-68.3,18.81,48,75,7.2,AR,1674066778
13,mataura,-46.1927,168.8643,13.72,89,11,0.68,NZ,1674066778
14,guerrero negro,27.9769,-114.0611,15.84,52,100,5.66,MX,1674066778
15,casper,42.8666,-106.3131,-2.38,82,100,5.66,US,1674066779
16,nikolskoye,59.7035,30.7861,0.94,99,100,3.85,RU,1674066780
17,punta arenas,-53.15,-70.9167,21.06,46,0,12.86,CL,1674066317
18,wakkanai,45.4094,141.6739,-7.43,71,100,1.51,JP,1674066780
19,atuona,-9.8,-139.0333,25.33,79,35,7.98,PF,1674066780
20,hermanus,-34.4187,19.2345,21.0,87,43,3.98,ZA,1674066781
21,busselton,-33.65,115.3333,15.9,66,70,7.31,AU,1674066781
22,chalons-en-champagne,48.9539,4.3672,1.04,92,46,3.3,FR,1674066714
23,estelle,29.8458,-90.1067,26.0,67,100,9.26,US,1674066782
24,jamestown,42.097,-79.2353,3.34,75,100,7.2,US,1674066740
25,bredasdorp,-34.5322,20.0403,21.59,78,24,4.07,ZA,1674066783
26,ahipara,-35.1667,173.1667,18.48,85,6,3.58,NZ,1674066784
27,narni,42.5171,12.5231,8.31,89,100,1.02,IT,1674066784
28,kapaa,22.0752,-159.319,20.18,94,20,3.09,US,1674066785
29,east london,-33.0153,27.9116,27.52,61,75,6.17,ZA,1674066786
30,port alfred,-33.5906,26.891,23.43,89,100,0.89,ZA,1674066786
31,hasaki,35.7333,140.8333,5.12,60,100,8.62,JP,1674066788
32,guarda,40.5373,-7.2658,1.28,86,13,4.35,PT,1674066789
33,ancud,-41.8697,-73.8203,19.56,57,100,3.16,CL,1674066789
34,saint george,37.1041,-113.5841,7.46,54,0,2.57,US,1674066790
35,kargil,34.5667,76.1,-18.13,85,100,0.34,IN,1674066790
36,dikson,73.5069,80.5464,-27.55,82,100,2.79,RU,1674066790
37,nouakchott,18.0858,-15.9785,30.96,40,4,4.64,MR,1674066791
38,vaini,-21.2,-175.2,22.09,94,20,0.0,TO,1674066792
